id date age minVel slowVel type count correct incorrect corrected dropped percCorrect latency accuracy accuracyLast accuracyMost
10148 20060424 13.766 4 1 ps 47 31 3 2 13 91.2 314 1.22 1.22 0.91
10148 20060424 13.766 4 4 ps 47 34 3 1 10 91.9 337 1.6 1.6 1.13
10148 20060424 13.766 8 1 ps 43 27 2 2 17 93.1 320 1.43 1.43 1.43
10148 20060424 13.766 8 4 ps 43 29 2 1 15 93.5 338 1.66 1.66 1.55
10148 20070315 14.758 4 1 ps 48 42 0 0 6 100 307 0.92 0.92 0.71
10148 20070315 14.758 4 4 ps 48 44 0 0 4 100 327 1.28 1.28 0.92
10148 20070315 14.758 8 1 ps 41 32 0 0 14 100 307 1 1.04 1
10148 20070315 14.758 8 4 ps 41 33 0 0 13 100 325 1.33 1.36 1.24
10148 20070811 14.800 4 1 ps 48 41 0 0 7 100 318 0.64 0.64 0.61
10148 20070811 14.800 4 4 ps 48 39 0 0 9 100 338 0.82 0.82 0.66
10148 20070811 14.800 8 1 ps 43 38 0 0 9 100 319 0.84 0.84 0.84
10148 20070811 14.800 8 4 ps 43 39 0 0 8 100 335 1.04 1.04 1
10148 20080819 15.800 4 1 ps 48 43 0 0 5 100 345 1.15 1.15 0.96
10148 20080819 15.800 4 4 ps 48 44 0 0 4 100 365 1.26 1.26 1.06
10148 20080819 15.800 8 1 ps 38 38 0 0 8 100 330 1.25 1.24 1.07
10148 20080819 15.800 8 4 ps 38 37 0 0 9 100 350 1.42 1.4 1.23
10148 20090826 16.800 4 1 ps 48 48 0 0 0 100 314 0.95 0.95 0.91
10148 20090826 16.800 4 4 ps 48 46 1 2 1 97.9 334 1.07 1.07 1.03
10148 20090826 16.800 8 1 ps 47 43 0 0 5 100 313 0.98 0.98 0.98
10148 20090826 16.800 8 4 ps 47 41 1 1 6 97.6 333 1.13 1.13 1.13
10148 20120815 19.800 4 1 ps 48 45 1 0 2 97.8 323 1.09 1.09 0.96
10148 20120815 19.800 4 4 ps 48 45 1 2 2 97.8 342 1.23 1.23 1.12
10148 20120815 19.800 8 1 ps 47 39 1 0 8 97.5 318 1.28 1.28 1.15
10148 20120815 19.800 8 4 ps 47 38 2 2 8 95 337 1.34 1.34 1.32
10148 20130810 20.800 4 1 ps 48 37 4 0 7 90.2 302 0.86 0.86 0.78
10148 20130810 20.800 4 4 ps 48 37 4 0 7 90.2 318 0.96 0.96 0.89
10148 20130810 20.800 8 1 ps 45 36 5 1 7 87.8 302 1.03 1.01 0.97
10148 20130810 20.800 8 4 ps 45 34 5 1 9 87.2 318 1.11 1.09 1.09
10156 20060826 13.58 4 1 ps 48 41 0 0 7 100 331 0.79 0.79 0.79
10156 20060826 13.58 4 4 ps 48 44 0 0 4 100 349 1.07 1.07 0.87
10156 20060826 13.58 8 1 ps 48 40 1 1 7 97.6 333 0.98 0.98 0.97
10156 20060826 13.58 8 4 ps 48 41 1 1 6 97.6 351 1.18 1.18 1.07
10156 20070707 14.41 4 1 ps 48 42 2 2 4 95.5 286 0.63 0.63 0.59
10156 20070707 14.41 4 4 ps 48 46 2 2 0 95.8 306 1.03 1.03 0.76
10156 20070707 14.41 8 1 ps 47 38 3 2 7 92.7 286 0.81 0.81 0.69
10156 20070707 14.41 8 4 ps 47 39 3 2 6 92.9 307 1.12 1.12 0.95
10156 20080703 15.41 4 1 ps 42 33 1 1 8 97.1 328 1.05 1.05 1.05
10156 20080703 15.41 4 4 ps 42 33 1 1 8 97.1 345 1.62 1.62 1.44
