id date age minVel slowVel type count correct incorrect corrected dropped percCorrect latency accuracy accuracyLast accuracyMost
10148 20060424 13.766 4 1 as 48 18 24 31 6 42.9 417 1.21 1.21 1.16
10148 20060424 13.766 4 4 as 48 12 29 35 7 29.3 492 1.51 1.51 1.47
10148 20060424 13.766 8 1 as 48 29 11 15 8 72.5 493 1.3 1.3 1.3
10148 20060424 13.766 8 4 as 48 25 15 19 8 62.5 547 1.49 1.49 1.49
10148 20070315 14.758 4 1 as 48 32 14 14 2 69.6 425 1.6 1.6 1.21
10148 20070315 14.758 4 4 as 48 29 19 21 0 60.4 468 1.67 1.67 1.13
10148 20070315 14.758 8 1 as 48 37 10 9 1 78.7 448 1.64 1.64 1.56
10148 20070315 14.758 8 4 as 48 33 14 14 1 70.2 479 1.61 1.61 1.5
10148 20070811 14.800 4 1 as 48 39 4 5 5 90.7 400 1.32 1.32 0.93
10148 20070811 14.800 4 4 as 48 38 8 12 2 82.6 452 1.48 1.48 1
10148 20070811 14.800 8 1 as 46 41 1 1 6 97.6 422 1.37 1.37 1.17
10148 20070811 14.800 8 4 as 46 41 3 4 4 93.2 461 1.6 1.49 1.24
10148 20080819 15.800 4 1 as 48 37 7 11 4 84.1 422 1.39 1.39 0.98
10148 20080819 15.800 4 4 as 48 35 9 13 4 79.5 449 1.65 1.65 1.02
10148 20080819 15.800 8 1 as 47 39 5 7 4 88.6 429 1.54 1.54 1.47
10148 20080819 15.800 8 4 as 47 38 6 8 4 86.4 447 1.71 1.71 1.56
10148 20090826 16.800 4 1 as 48 39 2 2 7 95.1 400 1.28 1.28 0.94
10148 20090826 16.800 4 4 as 48 43 3 3 2 93.5 425 1.57 1.57 0.99
10148 20090826 16.800 8 1 as 48 42 2 2 4 95.5 408 1.26 1.26 1.08
10148 20090826 16.800 8 4 as 48 45 2 2 1 95.7 429 1.46 1.46 1.12
10148 20120815 19.800 4 1 as 48 43 3 3 2 93.5 401 1.41 1.41 1.15
10148 20120815 19.800 4 4 as 48 41 3 4 4 93.2 419 1.58 1.58 1.34
