id date age minVel slowVel type count correct incorrect corrected dropped percCorrect latency accuracy accuracyLast accuracyMost
10148 20050815 12.800 4 1 vgs 60 54 2 3 4 96.4 228 0.62 0.62 0.52
10148 20050815 12.800 4 4 vgs 60 54 3 4 3 94.7 248 0.63 0.63 0.53
10148 20050815 12.800 8 1 vgs 60 53 2 3 5 96.4 239 0.62 0.62 0.62
10148 20050815 12.800 8 4 vgs 60 52 3 4 5 94.5 257 0.64 0.64 0.64
10148 20070315 14.758 4 1 vgs 60 59 1 1 0 98.3 183 0.83 0.83 0.59
10148 20070315 14.758 4 4 vgs 60 57 2 3 1 96.6 203 0.97 0.97 0.73
10148 20070315 14.758 8 1 vgs 54 49 0 0 5 100 189 0.84 0.84 0.73
10148 20070315 14.758 8 4 vgs 54 48 1 2 5 98 208 0.94 0.94 0.82
10148 20070811 14.800 4 1 vgs 60 60 0 0 0 100 208 0.61 0.61 0.5
10148 20070811 14.800 4 4 vgs 60 60 0 0 0 100 233 0.71 0.71 0.58
10148 20070811 14.800 8 1 vgs 57 56 0 0 1 100 217 0.6 0.6 0.6
10148 20070811 14.800 8 4 vgs 57 56 0 0 1 100 234 0.67 0.67 0.67
10148 20080819 15.800 4 1 vgs 59 57 0 0 2 100 225 0.45 0.45 0.43
10148 20080819 15.800 4 4 vgs 59 58 0 0 1 100 243 0.67 0.67 0.62
10148 20080819 15.800 8 1 vgs 53 52 0 0 1 100 223 0.48 0.48 0.47
10148 20080819 15.800 8 4 vgs 53 52 0 0 1 100 241 0.65 0.65 0.64
10148 20090826 16.800 4 1 vgs 60 57 0 0 3 100 170 1.14 1.14 1.1
10148 20090826 16.800 4 4 vgs 60 58 0 0 2 100 188 1.24 1.24 1.18
10148 20090826 16.800 8 1 vgs 60 57 0 0 3 100 168 1.1 1.1 0.95
10148 20090826 16.800 8 4 vgs 60 57 0 0 3 100 187 1.2 1.2 1.03
10148 20120815 19.800 4 1 vgs 60 52 2 5 6 96.3 165 1 1 0.92
10148 20120815 19.800 4 4 vgs 60 55 2 6 3 96.5 185 1.22 1.22 1.09
10148 20120815 19.800 8 1 vgs 58 52 1 4 5 98.1 167 1.38 1.38 1.29
10148 20120815 19.800 8 4 vgs 58 51 1 4 6 98.1 185 1.27 1.27 1.17
10148 20130810 20.800 4 1 vgs 60 47 10 2 3 82.5 166 0.83 0.83 0.79
10148 20130810 20.800 4 4 vgs 60 47 7 4 6 87 184 1 1 0.92
10148 20130810 20.800 8 1 vgs 59 44 8 2 7 84.6 164 0.89 0.89 0.85
10148 20130810 20.800 8 4 vgs 59 44 8 5 7 84.6 182 1.05 1.05 0.99
10156 20051110 12.75 4 1 vgs 38 23 0 0 15 100 307 1.38 1.38 1.18
10156 20051110 12.75 4 4 vgs 38 24 0 0 14 100 367 1.37 1.37 1.19
10156 20051110 12.75 8 1 vgs 36 23 1 2 12 95.8 334 1.31 1.31 1.09
10156 20051110 12.75 8 4 vgs 36 24 1 2 11 96 388 1.27 1.27 1.02
10156 20060826 13.58 4 1 vgs 40 38 1 1 1 97.4 290 0.92 0.92 0.92
10156 20060826 13.58 4 4 vgs 40 37 2 2 1 94.9 308 1.1 1.1 1.05
10156 20060826 13.58 8 1 vgs 39 37 0 0 2 100 292 1 1 0.99
10156 20060826 13.58 8 4 vgs 39 36 1 1 2 97.3 309 1.17 1.17 1.14
10156 20070707 14.41 4 1 vgs 60 58 1 1 1 98.3 232 0.77 0.77 0.77
10156 20070707 14.41 4 4 vgs 60 58 1 1 1 98.3 252 0.86 0.86 0.85
10156 20070707 14.41 8 1 vgs 56 53 1 1 2 98.1 224 0.81 0.81 0.8
10156 20070707 14.41 8 4 vgs 56 53 1 1 2 98.1 243 0.87 0.87 0.87
10156 20080703 15.41 4 1 vgs 40 38 0 0 2 100 179 0.95 0.95 0.95
10156 20080703 15.41 4 4 vgs 40 35 0 0 5 100 201 1.62 1.62 1.59
10156 20080703 15.41 8 1 vgs 23 22 0 0 1 100 168 1.13 1.13 1.13
10156 20080703 15.41 8 4 vgs 23 21 0 0 2 100 186 2.03 2.03 2.03
10156 20090711 16.41 4 1 vgs 60 57 0 0 3 100 196 0.82 0.82 0.81
10156 20090711 16.41 4 4 vgs 60 56 1 1 3 98.2 215 0.93 0.93 0.93
10156 20090711 16.41 8 1 vgs 58 58 0 0 0 100 198 0.87 0.87 0.82
10156 20090711 16.41 8 4 vgs 58 58 0 0 0 100 215 0.97 0.97 0.92
10156 20130112 19.825 4 1 vgs 60 45 1 1 14 97.8 276 1.57 1.57 1.51
10156 20130112 19.825 4 4 vgs 60 42 4 4 14 91.3 295 1.79 1.79 1.67
10156 20130112 19.825 8 1 vgs 58 48 1 1 9 98 276 1.79 1.79 1.58
10156 20130112 19.825 8 4 vgs 58 46 2 2 10 95.8 303 1.73 1.73 1.69
10156 20131012 20.66 4 1 vgs 59 39 1 0 19 97.5 197 1.17 1.17 1
10156 20131012 20.66 4 4 vgs 59 37 4 7 18 90.2 221 1.19 1.19 1.06
10156 20131012 20.66 8 1 vgs 53 30 3 0 20 90.9 202 1.36 1.36 0.98
10156 20131012 20.66 8 4 vgs 53 29 5 5 19 85.3 221 1.12 1.12 0.91
10184 20051210 11.33 4 1 vgs 53 34 6 4 13 85 241 1.32 1.32 1.22
10184 20051210 11.33 4 4 vgs 53 35 7 7 11 83.3 249 1.16 1.16 1.06
10184 20051210 11.33 8 1 vgs 43 34 2 1 7 94.4 260 1.38 1.38 1.21
10184 20051210 11.33 8 4 vgs 43 34 3 2 6 91.9 267 1.17 1.17 1
10184 20070526 12.816 4 1 vgs 57 42 2 2 13 95.5 321 1.41 1.41 1.3
10184 20070526 12.816 4 4 vgs 57 41 3 3 13 93.2 342 1.48 1.48 1.34
10184 20070526 12.816 8 1 vgs 52 39 1 1 12 97.5 331 1.27 1.27 1.24
10184 20070526 12.816 8 4 vgs 52 38 2 2 12 95 347 1.37 1.37 1.33
10184 20101120 16.25 4 1 vgs 38 34 0 0 4 100 248 1 1 1
10184 20101120 16.25 4 4 vgs 38 33 0 0 5 100 282 1.51 1.51 1.42
10184 20101120 16.25 8 1 vgs 36 30 0 0 6 100 242 1.12 1.12 0.98
10184 20101120 16.25 8 4 vgs 36 30 0 0 6 100 268 1.74 1.74 1.64
10184 20120725 18.0 4 1 vgs 59 47 0 0 12 100 282 0.86 0.86 0.77
10184 20120725 18.0 4 4 vgs 59 48 0 0 11 100 296 1.18 1.18 0.97
10184 20120725 18.0 8 1 vgs 53 44 1 1 8 97.8 285 0.94 0.94 0.82
10184 20120725 18.0 8 4 vgs 53 44 1 1 8 97.8 303 1.2 1.2 1.01
10184 20130918 19.8 4 1 vgs 60 49 0 0 11 100 246 0.73 0.73 0.7
10184 20130918 19.8 4 4 vgs 60 51 0 0 9 100 262 1.04 1.04 0.96
10184 20130918 19.8 8 1 vgs 51 38 1 1 12 97.4 242 0.89 0.89 0.87
10184 20130918 19.8 8 4 vgs 51 39 1 2 11 97.5 258 1.25 1.25 1.17
10252 20060504 11.791 4 1 vgs 18 18 0 0 0 100 180 0.56 0.56 0.56
10252 20060504 11.791 4 4 vgs 18 18 0 0 0 100 199 0.72 0.72 0.72
10252 20060504 11.791 8 1 vgs 17 17 0 0 0 100 178 0.58 0.58 0.58
10252 20060504 11.791 8 4 vgs 17 17 0 0 0 100 197 0.74 0.74 0.69
10252 20070628 12.808 4 1 vgs 60 35 3 7 22 92.1 225 1.17 1.17 0.88
10252 20070628 12.808 4 4 vgs 60 37 4 14 19 90.2 246 1.33 1.33 1.08
10252 20070628 12.808 8 1 vgs 58 38 4 2 16 90.5 211 1.4 1.4 1.17
10252 20070628 12.808 8 4 vgs 58 39 4 3 15 90.7 233 1.52 1.52 1.12
10252 20080626 13.808 4 1 vgs 59 47 1 1 11 97.9 228 1.4 1.4 1.33
10252 20080626 13.808 4 4 vgs 59 49 1 1 9 98 246 1.6 1.6 1.5
10252 20080626 13.808 8 1 vgs 49 38 1 1 10 97.4 242 1.45 1.45 1.4
10252 20080626 13.808 8 4 vgs 49 38 1 1 10 97.4 259 1.64 1.64 1.53
10252 20090513 14.800 4 1 vgs 39 29 4 2 6 87.9 187 1.12 1.12 1.03
10252 20090513 14.800 4 4 vgs 39 31 2 3 6 93.9 207 1.4 1.4 1.26
10252 20090513 14.800 8 1 vgs 33 23 4 2 6 85.2 175 1.27 1.27 1.18
10252 20090513 14.800 8 4 vgs 33 23 3 5 7 88.5 195 1.47 1.47 1.37
10252 20110412 16.791 4 1 vgs 59 48 2 2 9 96 184 1.32 1.32 1.18
10252 20110412 16.791 4 4 vgs 59 49 3 3 7 94.2 213 1.52 1.52 1.17
10252 20110412 16.791 8 1 vgs 54 40 2 1 12 95.2 184 1.44 1.44 1.21
10252 20110412 16.791 8 4 vgs 54 41 3 2 10 93.2 209 1.53 1.53 1.22
10335 20060828 10.0 4 1 vgs 34 31 0 2 3 100 245 0.77 0.77 0.59
